Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 45.10      0.69     0.69  1178879     0.00     0.00  Vector::Vector(Vector const&)
 26.80      1.10     0.41   261632     0.00     0.00  Vector::mean() const
  7.84      1.22     0.12 468844544     0.00     0.00  Vector::operator[](unsigned int)
  5.88      1.31     0.09   392448     0.00     0.00  Vector::dot(Vector) const
  5.88      1.40     0.09   261632     0.00     0.00  Vector::operator-(double)
  3.27      1.45     0.05   261632     0.00     0.00  Vector::operator/(double)
  3.27      1.50     0.05                             Vector::operator[](unsigned int) const
  0.65      1.51     0.01   130816     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.65      1.52     0.01        1     0.01     0.01  Dataset::write(std::vector<double, std::allocator<double> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.65      1.53     0.01                             _init
  0.00      1.53     0.00  1179391     0.00     0.00  Vector::Vector(unsigned int)
  0.00      1.53     0.00  1179391     0.00     0.00  Vector::~Vector()
  0.00      1.53     0.00   262144     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00      1.53     0.00   262144     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.00      1.53     0.00   261650     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      1.53     0.00   261632     0.00     0.00  Vector::magnitude() const
  0.00      1.53     0.00   261632     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00      1.53     0.00   261632     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00      1.53     0.00   132351     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.53     0.00   131880     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::size() const
  0.00      1.53     0.00   130890     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      1.53     0.00   130816     0.00     0.00  Analysis::pearson(Vector, Vector)
  0.00      1.53     0.00   130816     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      1.53     0.00   130816     0.00     0.00  std::setprecision(int)
  0.00      1.53     0.00   130816     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      1.53     0.00   130816     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.00      1.53     0.00     2558     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00      1.53     0.00     2057     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00      1.53     0.00     1535     0.00     0.00  void std::_Destroy<Vector>(Vector*)
  0.00      1.53     0.00     1026     0.00     0.00  __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > >::base() const
  0.00      1.53     0.00     1024     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      1.53     0.00     1023     0.00     0.00  void std::_Construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00      1.53     0.00      621     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      1.53     0.00      513     0.00     0.00  bool __gnu_cxx::operator!=<Vector const*, std::vector<Vector, std::allocator<Vector> > >(__gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > > const&, __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > > const&)
  0.00      1.53     0.00      513     0.00     0.00  double* std::__niter_wrap<double*>(double* const&, double*)
